sample_id,mission_id,mission_name,timestamp,latitude,longitude,altitude,ph,ec,moisture,temperature,nitrogen,phosphorus,potassium,organic_carbon,soil_health_index,soil_texture,mulberry_variety,probe_depth_cm,battery_soc,raw_modbus_hex,rover_state
S0001,M001,Grid Sweep Sector A (North-West),2026-08-13T17:24:54.345690,11.392912,77.733969,318.2,6.94,0.61,45.6,27.2,272.0,133.4,133.9,0.6,92.5,Red Sandy Loam,V1 (Victory-1),15.0,99.0,01 03 0E 01C8 0110 0262 0045 0110 0085 0086 A62F,INTERROGATION
S0002,M001,Grid Sweep Sector A (North-West),2026-08-13T17:42:54.345690,11.392145,77.73384,319.3,5.85,0.61,44.2,26.8,302.9,116.7,137.1,0.71,86.6,Red Sandy Loam,V1 (Victory-1),15.0,98.5,01 03 0E 01BA 010C 0262 003A 012F 0075 0089 A6FE,INTERROGATION
S0003,M001,Grid Sweep Sector A (North-West),2026-08-13T18:00:54.345690,11.392126,77.733648,319.3,6.56,0.59,46.7,26.6,317.8,128.5,138.5,0.72,96.3,Red Sandy Loam,V1 (Victory-1),15.0,98.1,01 03 0E 01D3 010A 024E 0042 013E 0080 008A A622,INTERROGATION
S0004,M001,Grid Sweep Sector A (North-West),2026-08-13T18:18:54.345690,11.392838,77.733344,317.6,6.9,0.59,46.4,26.1,260.5,135.7,134.6,0.62,92.4,Red Sandy Loam,V1 (Victory-1),15.0,97.7,01 03 0E 01D0 0105 024E 0045 0104 0088 0087 A616,INTERROGATION
S0005,M001,Grid Sweep Sector A (North-West),2026-08-13T18:36:54.345690,11.3926,77.733633,318.3,6.81,0.61,47.9,27.1,181.9,136.1,130.7,0.45,85.9,Red Sandy Loam,V1 (Victory-1),15.0,97.2,01 03 0E 01DF 010F 0262 0044 00B6 0088 0083 A788,INTERROGATION
S0006,M001,Grid Sweep Sector A (North-West),2026-08-13T18:54:54.345690,11.392668,77.733291,318.0,6.91,0.64,44.5,27.0,266.1,138.4,130.3,0.6,92.3,Red Sandy Loam,V1 (Victory-1),15.0,96.8,01 03 0E 01BD 010E 0280 0045 010A 008A 0082 A6B7,INTERROGATION
S0007,M001,Grid Sweep Sector A (North-West),2026-08-13T19:12:54.345690,11.391785,77.733853,319.8,7.23,1.49,50.6,27.3,316.8,132.8,137.4,0.72,91.0,Saline Sandy Clay,V1 (Victory-1),15.0,96.3,01 03 0E 01FA 0111 05D2 0048 013D 0085 0089 A183,INTERROGATION
S0008,M001,Grid Sweep Sector A (North-West),2026-08-13T19:30:54.345690,11.391969,77.734242,319.6,6.52,0.61,51.2,26.1,326.3,134.9,141.2,0.78,98.1,Red Sandy Loam,V1 (Victory-1),15.0,95.8,01 03 0E 0200 0105 0262 0041 0146 0087 008D A5A9,INTERROGATION
S0009,M001,Grid Sweep Sector A (North-West),2026-08-13T19:48:54.345690,11.391338,77.733701,320.9,7.31,1.45,48.7,27.2,328.1,135.3,135.4,0.7,91.7,Saline Sandy Clay,V1 (Victory-1),15.0,95.4,01 03 0E 01E7 0110 05AA 0049 0148 0087 0087 A19F,INTERROGATION
S0010,M001,Grid Sweep Sector A (North-West),2026-08-13T20:06:54.345690,11.392588,77.733603,318.3,6.87,0.63,46.0,27.4,186.8,133.5,130.8,0.46,86.1,Red Sandy Loam,V1 (Victory-1),15.0,95.0,01 03 0E 01CC 0112 0276 0045 00BB 0086 0083 A790,INTERROGATION
